timestamp,open,high,low,close,volume
2024-01-02 09:15:00,2450.0,2454.6,2442.31,2447.07,40590
2024-01-02 09:20:00,2447.07,2447.58,2436.44,2446.85,6723
2024-01-02 09:25:00,2446.85,2456.32,2433.64,2452.27,6291
2024-01-02 09:30:00,2452.27,2462.54,2446.8,2454.51,21468
2024-01-02 09:35:00,2454.51,2458.84,2443.81,2450.89,30787
2024-01-02 09:40:00,2450.89,2454.84,2450.86,2452.62,110174
2024-01-02 09:45:00,2452.62,2459.91,2452.21,2454.61,57409
2024-01-02 09:50:00,2454.61,2455.49,2443.37,2449.32,59595
2024-01-02 09:55:00,2449.32,2459.19,2445.97,2446.49,41993
2024-01-02 10:00:00,2446.49,2446.66,2440.84,2442.69,22573
2024-01-02 10:05:00,2442.69,2447.9,2435.27,2439.12,41711
2024-01-02 10:10:00,2439.12,2442.08,2428.71,2438.86,58438
2024-01-02 10:15:00,2438.86,2452.8,2426.48,2433.68,41278
2024-01-02 10:20:00,2433.68,2442.08,2431.89,2437.37,32126
2024-01-02 10:25:00,2437.37,2445.46,2430.99,2442.46,18067
2024-01-02 10:30:00,2442.46,2451.62,2435.79,2444.48,31355
2024-01-02 10:35:00,2444.48,2449.91,2439.24,2442.28,28453
2024-01-02 10:40:00,2442.28,2444.3,2438.75,2442.27,16928
2024-01-02 10:45:00,2442.27,2454.21,2442.09,2442.65,110300
2024-01-02 10:50:00,2442.65,2447.77,2437.56,2439.41,12233
2024-01-02 10:55:00,2439.41,2452.34,2434.22,2441.13,34445
2024-01-02 11:00:00,2441.13,2443.3,2439.18,2441.39,38689
2024-01-02 11:05:00,2441.39,2444.85,2440.35,2440.94,35477
2024-01-02 11:10:00,2440.94,2462.2,2430.19,2445.59,47286
2024-01-02 11:15:00,2445.59,2445.81,2435.75,2439.72,17962
2024-01-02 11:20:00,2439.72,2448.98,2436.69,2439.34,15716
2024-01-02 11:25:00,2439.34,2443.86,2438.56,2439.86,15549
2024-01-02 11:30:00,2439.86,2442.38,2436.46,2440.79,22464
2024-01-02 11:35:00,2440.79,2445.45,2438.75,2442.37,46354
2024-01-02 11:40:00,2442.37,2447.99,2439.82,2447.57,19392
2024-01-02 11:45:00,2447.57,2455.25,2439.32,2447.58,34169
2024-01-02 11:50:00,2447.58,2458.86,2443.89,2449.97,20910
2024-01-02 11:55:00,2449.97,2457.36,2449.44,2452.56,11341
2024-01-02 12:00:00,2452.56,2465.08,2451.09,2453.25,3135
2024-01-02 12:05:00,2453.25,2462.05,2447.64,2449.76,6495
2024-01-02 12:10:00,2449.76,2455.72,2433.68,2442.42,61317
2024-01-02 12:15:00,2442.42,2449.59,2437.84,2440.54,27129
2024-01-02 12:20:00,2440.54,2451.23,2438.86,2447.37,14988
2024-01-02 12:25:00,2447.37,2454.07,2440.59,2444.02,8692
2024-01-02 12:30:00,2444.02,2446.29,2441.88,2443.0,11260
2024-01-02 12:35:00,2443.0,2447.47,2439.3,2444.92,42903
2024-01-02 12:40:00,2444.92,2448.91,2433.4,2447.71,22334
2024-01-02 12:45:00,2447.71,2449.78,2437.81,2445.31,45989
2024-01-02 12:50:00,2445.31,2447.81,2443.74,2445.23,10878
2024-01-02 12:55:00,2445.23,2454.55,2437.37,2440.49,24915
2024-01-02 13:00:00,2440.49,2441.84,2430.79,2435.79,7402
2024-01-02 13:05:00,2435.79,2445.39,2427.99,2438.98,29685
2024-01-02 13:10:00,2438.98,2443.98,2432.44,2437.99,16952
2024-01-02 13:15:00,2437.99,2443.64,2436.73,2436.9,11365
2024-01-02 13:20:00,2436.9,2437.35,2425.69,2434.73,17668
2024-01-02 13:25:00,2434.73,2438.31,2432.71,2437.31,10119
2024-01-02 13:30:00,2437.31,2439.22,2434.29,2435.87,20565
2024-01-02 13:35:00,2435.87,2440.06,2428.79,2435.03,6864
2024-01-02 13:40:00,2435.03,2436.33,2423.39,2434.66,51224
