timestamp,open,high,low,close,volume
2024-01-02 09:15:00,760.0,762.48,759.7,761.07,40952
2024-01-02 09:20:00,761.07,761.53,759.45,760.01,25029
2024-01-02 09:25:00,760.01,761.55,759.49,760.36,9278
2024-01-02 09:30:00,760.36,762.01,755.83,761.59,41675
2024-01-02 09:35:00,761.59,766.87,760.61,761.34,69073
2024-01-02 09:40:00,761.34,766.72,761.09,762.6,2228
2024-01-02 09:45:00,762.6,766.1,760.61,762.76,61306
2024-01-02 09:50:00,762.76,766.86,758.47,762.49,18212
2024-01-02 09:55:00,762.49,763.9,761.72,762.24,39161
2024-01-02 10:00:00,762.24,765.15,760.63,762.68,28679
2024-01-02 10:05:00,762.68,764.08,761.63,762.41,22602
2024-01-02 10:10:00,762.41,763.58,762.09,762.98,6943
2024-01-02 10:15:00,762.98,764.02,760.76,762.88,53766
2024-01-02 10:20:00,762.88,765.88,761.63,762.21,22032
2024-01-02 10:25:00,762.21,764.34,760.32,760.95,6064
2024-01-02 10:30:00,760.95,762.67,758.72,760.97,24252
2024-01-02 10:35:00,760.97,764.54,760.76,761.83,21370
2024-01-02 10:40:00,761.83,763.27,759.29,762.34,72225
2024-01-02 10:45:00,762.34,763.35,760.14,761.58,37007
2024-01-02 10:50:00,761.58,765.23,761.14,761.66,43592
2024-01-02 10:55:00,761.66,763.32,760.77,761.57,46607
2024-01-02 11:00:00,761.57,763.28,759.49,761.05,33515
2024-01-02 11:05:00,761.05,763.75,761.02,762.23,14339
2024-01-02 11:10:00,762.23,764.66,761.18,763.66,31179
2024-01-02 11:15:00,763.66,767.07,763.07,764.71,27629
2024-01-02 11:20:00,764.71,769.54,763.31,765.6,20345
2024-01-02 11:25:00,765.6,766.15,762.22,763.07,28406
2024-01-02 11:30:00,763.07,766.96,761.61,765.04,14309
2024-01-02 11:35:00,765.04,765.29,758.53,764.07,5589
2024-01-02 11:40:00,764.07,767.0,762.9,766.14,10570
2024-01-02 11:45:00,766.14,768.07,764.88,765.74,18724
2024-01-02 11:50:00,765.74,769.23,763.83,765.4,16503
2024-01-02 11:55:00,765.4,771.5,762.62,764.59,23193
2024-01-02 12:00:00,764.59,765.17,762.3,763.51,11735
2024-01-02 12:05:00,763.51,763.61,760.88,762.11,19210
2024-01-02 12:10:00,762.11,763.47,761.72,761.77,84701
2024-01-02 12:15:00,761.77,763.43,756.03,760.53,16250
2024-01-02 12:20:00,760.53,764.0,759.19,760.99,66109
2024-01-02 12:25:00,760.99,763.26,757.92,763.12,17509
2024-01-02 12:30:00,763.12,768.17,762.64,764.52,38644
2024-01-02 12:35:00,764.52,766.91,762.92,765.63,13778
2024-01-02 12:40:00,765.63,767.12,762.23,765.51,22217
2024-01-02 12:45:00,765.51,769.09,763.23,766.94,37288
2024-01-02 12:50:00,766.94,769.73,766.51,767.55,38821
2024-01-02 12:55:00,767.55,769.02,767.12,767.27,14738
2024-01-02 13:00:00,767.27,767.68,764.22,765.72,17143
2024-01-02 13:05:00,765.72,769.03,761.7,764.3,6516
2024-01-02 13:10:00,764.3,769.8,761.1,765.28,26534
